City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Bengaluru,2017-04-22,25.46,62.1,4.85,22.79,0.0,30.19,0.45,4.83,24.41,1.19,1.02,8.82,64.0,Satisfactory
Bengaluru,2017-04-23,28.49,74.8,2.67,23.6,0.0,27.92,0.08,3.68,7.03,1.51,1.41,8.82,50.0,Good
Bengaluru,2017-04-24,34.85,74.8,2.65,32.57,0.0,27.52,0.0,3.49,21.33,1.86,1.44,8.82,59.0,Satisfactory
Bengaluru,2017-04-25,29.88,108.62,3.54,31.4,0.0,28.23,0.19,3.52,27.0,1.53,1.12,8.82,66.0,Satisfactory
Bengaluru,2017-04-26,33.95,110.88,4.52,42.65,0.0,27.58,0.7,3.86,48.16,1.87,1.7,8.82,92.0,Satisfactory
Bengaluru,2017-04-27,40.01,100.72,7.39,38.94,0.0,28.45,0.67,5.61,27.84,3.71,2.69,8.82,87.0,Satisfactory
Bengaluru,2017-04-28,62.07,84.02,4.72,32.77,0.0,27.29,0.49,4.4,61.69,1.52,1.44,8.82,96.0,Satisfactory
Bengaluru,2017-04-29,38.44,76.53,8.49,39.84,0.0,28.89,0.44,5.15,43.66,1.44,1.64,8.82,139.0,Moderate
Bengaluru,2017-04-30,13.3,111.3,9.57,45.34,0.0,28.89,0.46,5.04,22.75,1.62,1.42,8.82,65.0,Satisfactory
Bengaluru,2017-05-01,20.32,80.58,6.21,31.84,0.0,25.82,0.39,4.82,39.36,0.96,0.75,8.82,77.0,Satisfactory
Bengaluru,2017-05-02,24.2,78.44,8.2,41.08,0.0,26.1,0.35,4.88,24.89,0.92,0.85,8.82,60.0,Satisfactory
Bengaluru,2017-05-03,66.24,87.15,10.17,35.96,0.0,28.37,0.48,6.26,24.89,0.92,0.0,8.82,84.0,Satisfactory
Bengaluru,2017-05-04,42.2,90.14,12.03,43.35,0.0,22.96,0.47,5.54,17.45,1.59,1.55,8.82,94.0,Satisfactory
Bengaluru,2017-05-05,28.27,85.96,8.55,42.47,0.0,31.0,0.62,5.76,6.19,2.33,1.76,8.82,80.0,Satisfactory
Bengaluru,2017-05-06,40.02,92.31,7.67,37.46,0.0,31.4,0.49,5.88,6.19,1.54,1.17,8.82,89.0,Satisfactory
Bengaluru,2017-05-07,30.26,76.29,6.46,29.37,0.0,22.61,0.4,5.31,29.52,2.69,1.0,8.82,98.0,Satisfactory
Bengaluru,2017-05-08,27.66,57.56,6.67,31.17,0.0,29.12,0.43,4.16,52.55,2.34,1.14,8.82,82.0,Satisfactory
Bengaluru,2017-05-09,32.01,57.82,4.81,31.86,0.0,30.32,0.23,3.67,33.71,1.6,1.22,8.82,69.0,Satisfactory
Bengaluru,2017-05-10,23.19,74.07,4.28,32.79,0.0,31.83,0.18,2.54,25.26,0.75,0.73,8.82,41.0,Good
Bengaluru,2017-05-11,28.52,35.51,5.81,39.12,0.0,22.39,0.42,8.55,36.74,1.06,1.26,8.82,53.0,Satisfactory
Bengaluru,2017-05-12,50.58,62.09,5.9,23.23,0.0,11.61,0.52,15.38,10.9,0.98,1.49,8.82,68.0,Satisfactory
Bengaluru,2017-05-13,120.56,73.92,6.92,26.63,0.0,11.24,0.49,8.45,18.96,1.66,1.58,8.82,156.0,Moderate
Bengaluru,2017-05-14,25.22,73.47,6.26,30.63,0.0,18.05,0.54,3.65,16.82,1.37,1.28,8.82,101.0,Moderate
Bengaluru,2017-05-15,14.94,50.05,5.02,26.57,0.0,18.34,0.52,3.52,38.46,0.84,0.82,8.82,52.0,Satisfactory
Bengaluru,2017-05-16,19.1,65.84,3.8,29.5,0.0,17.72,0.36,3.83,34.53,1.46,1.27,8.82,56.0,Satisfactory
Bengaluru,2017-05-17,22.93,65.3,3.62,26.74,0.0,18.17,0.38,3.73,45.09,1.03,0.91,8.82,67.0,Satisfactory
Bengaluru,2017-05-18,36.58,59.73,4.78,27.92,0.0,15.07,0.66,3.32,13.13,1.06,0.98,8.82,70.0,Satisfactory
Bengaluru,2017-05-19,20.87,45.38,5.6,32.01,0.0,18.85,0.56,3.49,21.6,1.15,1.25,8.82,64.0,Satisfactory
Bengaluru,2017-05-20,17.43,68.76,9.54,37.75,0.0,23.79,0.37,3.49,21.87,1.43,1.17,8.82,50.0,Good
Bengaluru,2017-05-21,12.53,50.36,8.01,34.15,0.0,23.65,0.37,3.51,23.31,0.9,0.79,8.82,59.0,Satisfactory
Bengaluru,2017-05-22,16.58,69.24,8.33,33.06,0.0,23.78,0.33,2.99,13.76,1.32,1.25,8.82,44.0,Good
Bengaluru,2017-05-23,25.83,63.33,8.79,37.11,0.0,24.31,0.41,3.57,20.05,1.28,1.23,8.82,58.0,Satisfactory
Bengaluru,2017-05-24,19.58,58.26,5.7,30.27,0.0,23.85,0.33,3.77,26.67,1.32,1.43,8.82,62.0,Satisfactory
Bengaluru,2017-05-25,21.39,59.53,6.42,29.53,0.0,23.75,0.38,3.75,16.72,1.21,1.16,8.82,57.0,Satisfactory
Bengaluru,2017-05-26,24.85,69.0,6.67,26.78,0.0,23.65,0.41,3.65,11.46,0.68,0.58,8.82,66.0,Satisfactory
Bengaluru,2017-05-27,18.21,44.46,7.45,29.32,0.0,23.57,0.42,3.6,18.34,0.93,1.14,8.82,47.0,Good
Bengaluru,2017-05-28,19.75,52.33,6.48,25.4,0.0,23.46,0.28,3.66,12.12,0.62,0.59,8.82,41.0,Good
Bengaluru,2017-05-29,21.08,60.65,6.93,26.89,0.0,23.67,0.34,3.32,9.02,0.56,0.39,8.82,43.0,Good
Bengaluru,2017-05-30,23.2,56.28,4.93,25.22,0.0,23.64,0.26,3.33,9.85,0.59,0.44,8.82,46.0,Good
Bengaluru,2017-05-31,22.87,77.5,4.43,27.67,0.0,23.73,0.17,3.09,9.92,0.65,0.42,8.82,42.0,Good
Bengaluru,2017-06-01,22.79,59.56,5.31,31.62,0.0,23.75,0.68,4.57,10.13,0.68,0.58,8.82,54.0,Satisfactory
Bengaluru,2017-06-02,20.19,60.05,5.35,32.25,0.0,23.66,0.35,3.89,8.69,0.67,0.42,8.82,52.0,Satisfactory
Bengaluru,2017-06-03,20.98,56.9,7.0,33.91,0.0,23.86,0.3,3.08,8.19,0.57,0.25,8.82,42.0,Good
Bengaluru,2017-06-04,13.39,56.9,4.09,24.89,0.0,23.86,0.3,1.33,7.55,0.75,0.56,8.82,28.0,Good
Bengaluru,2017-06-05,21.81,82.88,4.91,31.17,0.0,23.75,0.98,4.21,8.38,0.9,0.78,8.82,29.0,Good
Bengaluru,2017-06-06,22.93,49.92,4.85,30.17,0.0,23.64,0.85,3.86,7.92,0.93,0.94,8.82,54.0,Satisfactory
Bengaluru,2017-06-07,22.94,32.85,7.4,27.88,0.0,23.83,0.53,4.37,10.29,0.82,0.88,8.82,47.0,Good
Bengaluru,2017-06-08,20.75,75.64,3.35,25.47,0.0,23.61,0.59,4.56,14.64,0.84,1.07,8.82,51.0,Satisfactory
Bengaluru,2017-06-09,23.65,82.24,5.32,27.84,0.0,23.79,0.65,4.59,19.12,0.87,0.95,8.82,55.0,Satisfactory
Bengaluru,2017-06-10,19.78,91.96,7.02,31.35,0.0,23.65,0.61,4.87,19.88,0.6,0.57,8.82,54.0,Satisfactory
Bengaluru,2017-06-11,16.51,77.75,7.41,30.97,0.0,23.52,0.54,4.72,19.08,0.46,0.39,8.82,51.0,Satisfactory
Bengaluru,2017-06-12,19.12,65.59,7.04,28.24,0.0,23.68,0.58,4.79,19.47,0.68,0.57,8.82,45.0,Good
Bengaluru,2017-06-13,21.6,100.65,6.02,28.56,0.0,23.7,0.8,4.33,19.68,0.71,0.61,8.82,44.0,Good
Bengaluru,2017-06-14,19.77,95.84,6.27,29.47,0.0,23.66,0.63,4.24,21.06,0.63,0.57,8.82,59.0,Satisfactory
Bengaluru,2017-06-15,24.56,112.8,7.97,31.52,0.0,23.69,0.87,4.74,20.85,0.7,0.9,8.82,76.0,Satisfactory
Bengaluru,2017-06-16,24.66,89.59,9.56,31.25,0.0,23.91,0.62,5.71,18.43,1.0,1.93,8.82,65.0,Satisfactory
Bengaluru,2017-06-17,24.18,87.23,7.17,30.54,0.0,23.92,0.56,4.36,20.06,0.94,1.87,8.82,60.0,Satisfactory
Bengaluru,2017-06-18,17.82,92.85,3.68,26.38,0.0,23.74,0.63,5.21,9.1,0.72,0.78,8.82,57.0,Satisfactory
Bengaluru,2017-06-19,16.61,85.76,4.02,25.73,0.0,23.76,0.58,4.74,10.17,1.03,1.11,8.82,50.0,Good
Bengaluru,2017-06-20,24.03,90.54,3.55,25.75,0.0,23.87,0.61,6.85,7.75,1.0,0.85,8.82,53.0,Satisfactory
Bengaluru,2017-06-21,19.58,110.37,3.13,30.5,0.0,23.87,0.6,7.44,13.04,0.79,0.78,8.82,70.0,Satisfactory
Bengaluru,2017-06-22,21.05,71.41,3.57,26.66,0.0,23.97,0.62,5.8,8.43,0.92,0.81,8.82,60.0,Satisfactory
Bengaluru,2017-06-23,24.53,38.64,9.1,30.26,0.0,23.86,0.58,7.02,13.82,0.68,0.54,8.82,54.0,Satisfactory
Bengaluru,2017-06-24,25.35,123.16,19.79,45.04,0.0,35.99,0.55,6.42,10.04,0.6,0.46,8.82,60.0,Satisfactory
Bengaluru,2017-06-25,25.16,89.68,17.58,39.31,0.0,31.68,0.56,5.68,7.84,0.58,0.49,8.82,71.0,Satisfactory
Bengaluru,2017-06-26,31.13,96.37,12.54,37.52,0.0,31.96,1.16,7.96,8.44,1.73,1.44,8.82,138.0,Moderate
Bengaluru,2017-06-27,37.61,111.77,13.6,38.89,0.0,31.97,0.83,6.63,8.39,0.52,0.43,8.82,78.0,Satisfactory
Bengaluru,2017-06-28,37.34,97.49,10.09,34.73,0.0,32.02,0.6,6.63,8.99,0.51,0.4,8.82,82.0,Satisfactory
Bengaluru,2017-06-29,36.44,78.38,12.12,31.89,0.0,32.05,0.42,6.62,9.92,0.54,0.41,8.82,76.0,Satisfactory
Bengaluru,2017-06-30,35.4,107.39,15.16,33.89,0.0,31.99,0.69,6.63,10.32,0.59,0.44,8.82,76.0,Satisfactory
Bengaluru,2017-07-01,25.33,129.55,24.27,39.99,0.0,31.77,0.67,7.11,11.34,0.67,0.4,8.82,92.0,Satisfactory
Bengaluru,2017-07-02,30.07,110.45,54.79,68.84,0.0,90.01,1.64,6.55,10.47,0.67,1.96,8.82,160.0,Moderate
Bengaluru,2017-07-03,25.82,93.48,43.48,68.34,0.0,104.87,0.69,6.23,10.21,0.76,0.49,8.82,92.0,Satisfactory
Bengaluru,2017-07-04,25.82,82.18,20.75,32.27,0.0,104.87,0.59,5.81,9.67,0.51,0.42,8.82,85.0,Satisfactory
Bengaluru,2017-07-05,25.82,87.64,17.99,30.38,0.0,104.87,0.62,4.7,8.98,0.86,0.75,8.82,93.0,Satisfactory
Bengaluru,2017-07-06,313.59,79.21,13.97,27.42,0.0,29.43,0.52,3.82,9.26,0.9,0.81,8.82,87.0,Satisfactory
Bengaluru,2017-07-07,313.59,126.74,15.39,27.96,0.0,29.43,0.56,3.86,12.39,0.96,0.84,8.82,87.0,Satisfactory
Bengaluru,2017-07-08,313.59,120.31,24.05,32.94,0.0,29.43,0.69,4.97,9.39,1.09,0.73,8.82,108.0,Moderate
Bengaluru,2017-07-09,35.29,109.11,17.04,31.08,0.0,32.09,0.6,5.16,9.34,0.78,0.5,8.82,112.0,Moderate
Bengaluru,2017-07-10,33.44,102.45,13.86,29.55,0.0,32.39,0.63,5.33,10.61,0.8,0.56,8.82,102.0,Moderate
Bengaluru,2017-07-11,29.38,88.16,17.23,29.5,0.0,30.96,0.64,4.09,12.44,0.74,0.63,8.82,78.0,Satisfactory
Bengaluru,2017-07-12,27.64,76.48,12.48,26.82,0.0,27.05,0.68,5.16,18.42,1.0,1.04,8.82,67.0,Satisfactory
Bengaluru,2017-07-13,28.97,95.74,16.61,30.58,0.0,27.1,1.53,4.45,24.82,0.81,0.69,8.82,74.0,Satisfactory
Bengaluru,2017-07-14,22.68,96.47,13.31,30.3,0.0,26.36,0.67,5.41,47.62,0.69,0.54,8.82,72.0,Satisfactory
Bengaluru,2017-07-15,22.43,112.32,16.15,32.43,0.0,26.88,0.6,7.9,47.14,0.73,0.57,8.82,82.0,Satisfactory
Bengaluru,2017-07-16,17.2,98.67,13.34,31.1,0.0,26.78,0.52,6.3,23.82,0.59,0.41,8.82,61.0,Satisfactory
Bengaluru,2017-07-17,21.05,110.36,11.56,30.06,0.0,26.87,0.58,4.72,44.94,0.66,0.42,8.82,68.0,Satisfactory
Bengaluru,2017-07-18,18.45,82.75,12.68,29.79,0.0,26.88,0.62,4.58,27.09,0.59,0.49,8.82,68.0,Satisfactory
Bengaluru,2017-07-19,16.44,66.58,18.77,31.75,0.0,27.04,0.68,4.71,30.16,0.59,0.51,8.82,60.0,Satisfactory
Bengaluru,2017-07-20,31.68,87.62,16.76,31.34,0.0,26.84,0.65,5.1,54.5,0.41,0.38,8.82,61.0,Satisfactory
Bengaluru,2017-07-21,21.53,104.24,15.46,31.7,0.0,26.79,1.12,5.3,41.97,0.61,1.18,8.82,111.0,Moderate
Bengaluru,2017-07-22,20.15,120.48,17.16,33.19,0.0,27.12,1.35,4.29,53.85,0.57,1.38,8.82,132.0,Moderate
Bengaluru,2017-07-23,17.34,117.82,15.55,32.36,0.0,26.75,1.08,5.61,24.37,0.54,1.07,8.82,107.0,Moderate
Bengaluru,2017-07-24,24.23,111.03,10.47,31.45,0.0,26.97,1.08,5.68,42.69,0.76,1.14,8.82,109.0,Moderate
Bengaluru,2017-07-25,28.54,99.2,11.09,30.72,0.0,27.22,1.4,5.2,50.04,0.55,3.18,8.82,164.0,Moderate
Bengaluru,2017-07-26,23.68,105.63,9.88,30.53,0.0,26.72,0.59,4.73,51.12,0.53,0.36,8.82,85.0,Satisfactory
Bengaluru,2017-07-27,24.49,95.5,10.99,31.02,0.0,27.03,0.59,5.17,55.9,0.76,0.59,8.82,83.0,Satisfactory
Bengaluru,2017-07-28,21.77,77.97,9.59,28.74,0.0,26.46,1.17,4.57,51.05,0.88,0.79,8.82,122.0,Moderate
Bengaluru,2017-07-29,27.91,88.52,9.68,29.8,0.0,26.99,1.07,4.72,56.82,0.8,1.34,8.82,119.0,Moderate
Bengaluru,2017-07-30,22.36,91.72,11.51,29.57,0.0,26.87,1.07,4.67,23.6,0.62,1.27,8.82,94.0,Satisfactory
Bengaluru,2017-07-31,27.27,90.24,8.0,28.65,0.0,26.22,0.48,5.23,45.36,0.8,0.82,8.82,89.0,Satisfactory
Bengaluru,2017-08-01,26.57,91.01,7.35,26.22,0.0,24.62,1.5,5.34,54.93,1.07,2.03,8.82,136.0,Moderate
Bengaluru,2017-08-02,20.74,91.07,12.96,26.36,0.0,24.78,1.77,5.6,41.25,0.74,0.63,8.82,130.0,Moderate
Bengaluru,2017-08-03,17.67,74.63,16.81,25.46,0.0,24.54,2.95,5.31,39.16,0.74,2.39,8.82,160.0,Moderate
Bengaluru,2017-08-04,13.74,62.14,10.46,25.64,0.0,24.15,0.63,5.89,25.85,0.8,0.98,8.82,55.0,Satisfactory
Bengaluru,2017-08-05,17.69,78.23,9.01,27.5,0.0,24.57,1.27,5.13,30.04,0.78,1.64,8.82,106.0,Moderate
Bengaluru,2017-08-06,15.21,81.72,8.53,27.33,0.0,24.46,2.44,5.32,6.06,0.64,3.42,8.82,127.0,Moderate
Bengaluru,2017-08-07,22.82,88.33,8.83,27.76,0.0,24.53,2.91,5.27,54.59,0.71,3.19,8.82,176.0,Moderate
Bengaluru,2017-08-08,21.07,99.54,8.48,27.75,0.0,24.43,2.01,5.79,48.17,0.74,1.98,8.82,143.0,Moderate
Bengaluru,2017-08-09,22.31,92.2,14.25,29.38,0.0,24.68,0.95,5.12,33.6,1.17,1.19,8.82,74.0,Satisfactory
Bengaluru,2017-08-10,14.14,77.12,10.87,27.85,0.0,24.56,0.61,4.46,9.71,1.01,1.06,8.82,50.0,Good
Bengaluru,2017-08-11,10.11,71.85,14.03,32.5,0.0,24.42,0.68,4.06,16.65,1.22,1.39,8.82,56.0,Satisfactory
Bengaluru,2017-08-12,3.91,61.7,12.54,32.46,0.0,24.42,0.86,5.24,18.87,1.02,1.34,8.82,50.0,Good
Bengaluru,2017-08-13,4.69,116.59,16.42,32.78,0.0,22.95,1.14,4.6,23.74,1.21,1.11,8.82,67.0,Satisfactory
Bengaluru,2017-08-14,19.41,115.3,12.81,32.52,0.0,22.95,0.96,4.92,26.54,1.33,1.47,8.82,82.0,Satisfactory
Bengaluru,2017-08-15,20.88,68.12,14.75,29.7,0.0,24.17,0.64,5.4,7.35,0.84,0.84,8.82,70.0,Satisfactory
Bengaluru,2017-08-16,17.91,60.6,7.34,24.95,0.0,24.61,1.01,5.43,20.51,1.09,1.18,8.82,65.0,Satisfactory
Bengaluru,2017-08-17,18.42,78.23,5.51,29.56,0.0,24.71,1.25,4.51,21.86,1.03,0.76,8.82,70.0,Satisfactory
Bengaluru,2017-08-18,14.92,57.1,7.89,30.9,0.0,24.69,0.61,4.3,21.39,0.91,0.88,8.82,64.0,Satisfactory
Bengaluru,2017-08-19,18.66,53.12,9.13,27.62,0.0,24.52,0.68,4.7,20.13,0.77,0.66,8.82,57.0,Satisfactory
Bengaluru,2017-08-20,10.89,61.8,16.11,29.64,0.0,24.3,1.02,4.93,11.17,1.04,0.54,8.82,63.0,Satisfactory
Bengaluru,2017-08-21,14.53,88.86,11.74,28.09,0.0,24.48,0.95,4.92,16.04,0.71,0.56,8.82,48.0,Good
Bengaluru,2017-08-22,18.87,89.66,11.4,26.93,0.0,24.4,0.89,5.08,20.89,0.68,0.67,8.82,63.0,Satisfactory
Bengaluru,2017-08-23,18.18,75.76,9.12,26.59,0.0,24.3,0.85,4.21,27.15,0.95,1.01,8.82,62.0,Satisfactory
Bengaluru,2017-08-24,59.05,66.25,11.58,27.01,0.0,24.49,0.71,4.66,21.84,1.03,1.31,8.82,68.0,Satisfactory
Bengaluru,2017-08-25,97.97,49.59,8.83,25.15,0.0,24.22,0.57,4.71,19.86,0.85,0.82,8.82,172.0,Moderate
Bengaluru,2017-08-26,14.19,72.62,9.51,26.25,0.0,25.06,0.97,4.61,19.83,0.61,0.54,8.82,91.0,Satisfactory
Bengaluru,2017-08-27,11.71,48.41,11.76,26.08,0.0,24.2,0.67,4.85,7.65,0.58,0.64,8.82,39.0,Good
Bengaluru,2017-08-28,17.58,89.92,15.21,28.01,0.0,24.36,0.86,5.52,13.12,0.55,0.62,8.82,47.0,Good
Bengaluru,2017-08-29,16.33,100.74,15.67,28.51,0.0,24.61,1.01,4.79,14.98,0.5,0.57,8.82,57.0,Satisfactory
Bengaluru,2017-08-30,20.42,90.87,10.24,26.31,0.0,24.58,0.85,4.85,16.33,0.69,0.69,8.82,56.0,Satisfactory
Bengaluru,2017-08-31,24.96,111.68,7.86,26.74,0.0,24.78,0.77,5.48,24.66,0.92,1.05,8.82,69.0,Satisfactory
Bengaluru,2017-09-01,158.67,86.06,12.57,26.66,0.0,24.45,1.25,4.92,13.48,1.37,1.78,8.82,200.0,Moderate
Bengaluru,2017-09-02,114.92,87.12,24.01,31.99,0.0,24.44,0.82,4.8,15.86,1.44,2.18,8.82,135.0,Moderate
Bengaluru,2017-09-03,14.2,59.94,16.73,30.59,0.0,24.2,0.68,4.77,29.74,0.9,1.2,8.82,107.0,Moderate
Bengaluru,2017-09-04,39.74,85.24,15.95,30.16,0.0,24.42,0.77,4.65,23.83,1.18,1.56,8.82,74.0,Satisfactory
Bengaluru,2017-09-05,14.2,98.1,13.44,28.6,0.0,24.44,1.34,5.28,23.99,1.59,1.86,8.82,79.0,Satisfactory
Bengaluru,2017-09-06,21.2,49.13,14.2,28.55,0.0,24.13,0.63,5.28,27.63,1.11,1.57,8.82,101.0,Moderate
Bengaluru,2017-09-07,9.57,100.44,14.26,30.93,0.0,24.37,0.7,5.62,12.5,1.37,1.83,8.82,60.0,Satisfactory
Bengaluru,2017-09-08,32.86,72.73,11.97,30.75,0.0,24.37,0.91,4.7,34.54,1.41,1.81,8.82,75.0,Satisfactory
Bengaluru,2017-09-09,22.63,83.19,17.49,36.31,0.0,24.34,0.69,4.83,15.06,1.44,2.21,8.82,114.0,Moderate
Bengaluru,2017-09-10,14.52,93.49,31.66,39.24,0.0,24.34,0.68,5.96,9.66,0.94,1.27,8.82,57.0,Satisfactory
Bengaluru,2017-09-11,15.27,115.56,24.71,42.37,0.0,25.28,0.73,6.18,9.5,1.11,1.03,8.82,68.0,Satisfactory
Bengaluru,2017-09-12,17.48,104.51,16.21,39.09,0.0,25.28,0.73,5.45,11.3,1.04,1.01,8.82,68.0,Satisfactory
Bengaluru,2017-09-13,16.5,108.42,12.07,34.8,0.0,24.62,0.67,4.68,12.87,0.96,1.11,8.82,59.0,Satisfactory
Bengaluru,2017-09-14,14.05,90.68,9.17,29.42,0.0,24.2,0.94,4.4,28.38,0.81,1.22,8.82,63.0,Satisfactory
Bengaluru,2017-09-15,8.58,71.81,11.34,31.38,0.0,25.08,0.58,4.68,18.53,0.93,1.01,8.82,52.0,Satisfactory
Bengaluru,2017-09-16,8.49,92.8,11.49,31.42,0.0,24.21,0.37,5.42,14.39,0.63,0.67,8.82,49.0,Good
Bengaluru,2017-09-17,7.02,52.78,12.3,31.84,0.0,23.37,0.42,5.52,5.9,0.55,0.64,8.82,40.0,Good
Bengaluru,2017-09-18,8.57,66.31,8.79,28.46,0.0,23.92,0.42,5.12,6.18,0.5,0.54,8.82,43.0,Good
Bengaluru,2017-09-19,7.68,87.05,8.76,29.35,0.0,23.97,0.42,5.56,19.64,0.55,0.55,8.82,44.0,Good
Bengaluru,2017-09-20,10.21,81.53,6.9,28.47,0.0,24.05,0.47,5.14,25.61,0.5,0.51,8.82,52.0,Satisfactory
Bengaluru,2017-09-21,12.64,80.51,7.32,28.19,0.0,24.04,0.38,5.16,24.16,0.57,0.6,8.82,51.0,Satisfactory
Bengaluru,2017-09-22,17.93,80.49,6.28,27.46,0.0,24.05,0.35,4.89,28.96,0.9,0.91,8.82,51.0,Satisfactory
Bengaluru,2017-09-23,21.62,91.14,10.16,30.95,0.0,24.15,0.4,5.3,41.31,1.65,2.24,8.82,76.0,Satisfactory
Bengaluru,2017-09-24,23.7,112.5,15.23,35.09,0.0,24.18,0.49,6.04,29.38,1.7,1.99,8.82,76.0,Satisfactory
